Row	RBEKK_Scalar	RBEKK_Diagonal	RBEKK_CP	OGARCH_Scalar	OGARCH_Diagonal	OGARCH_CP	GOGARCH_Scalar	GOGARCH_Diagonal	GOGARCH_CP	RDCC_Scalar	RDCC_Diagonal	RDCC_CP
\alpha	0.000100000036188481		0.0194565742338756	0.000100000002191691		0.000854265065500013	0.0643165708701831		0.214294804586553	0.0999999988225015		0.767598872599731
\beta	0.900000050524004		0.0194788241321249	0.989999999894591		0.00214520992969547	0.927543528335375		0.277762881182534	0.900000000861808		0.648604306256755
\alpha_{11}		0.000100000075704314			0.000100000010756543			0.018946568057861			0.0999999977598307	
\alpha_{22}		0.000100000069304852			0.000100000001437563			0.0997422547177363			0.0999999975168574	
\beta_{11}		0.90000009098189			0.900000016826893			0.981043338322841			0.900000001653303	
\beta_{22}		0.900000113797072			0.989999999948103			0.900000714825777			0.900000001800097	
\lambda_{CP}			0.0194788242297683			1.00008994010005			0.989735321156024			0.777944957250266
\delta												
