Date,AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,VZ,WMT,XOM,,AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,VZ,WMT,XOM
2001-02-01 00:00:00,67.4748229980469,29.9932022094727,36.9274101257324,14.8793478012085,12.2379360198975,25.9392166137695,17.6044216156006,23.3690853118897,24.4607810974121,105.375946044922,29.640251159668,10.235803604126,59.7351875305176,21.7319164276123,25.5020809173584,28.2205905914307,14.898928642273,16.1708831787109,21.3854637145996,33.9380912780762,19.2994365692139,18.6877689361572,19.8173313140869,7.56699275970459,26.2678146362305,16.3466873168945,12.1197309494019,19.9613246917725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-02 00:00:00,66.6757888793945,30.3847560882568,37.143009185791,14.968710899353,12.2213745117188,24.0743045806885,17.4247341156006,23.1498565673828,23.8783836364746,105.489959716797,28.5679664611816,9.92756462097168,57.75537109375,20.5106296539307,25.836238861084,27.6091957092285,14.9767446517944,16.3936996459961,20.8448352813721,33.7332038879395,18.8159828186035,18.5596294403076,19.7664127349854,7.45472049713135,26.769739151001,15.4550504684448,11.915189743042,19.8417930603027,,-0.012,0.013,0.006,0.006,-0.001,-0.072,-0.010,-0.009,-0.024,0.001,-0.036,-0.030,-0.033,-0.056,0.013,-0.022,0.005,0.014,-0.025,-0.006,-0.025,-0.007,-0.003,-0.015,0.019,-0.055,-0.017,-0.006
2001-02-05 00:00:00,65.4860916137695,30.574239730835,37.8486251831055,14.87375831604,12.0833444595337,23.4385356903076,17.4564476013184,22.8758125305176,23.6298885345459,109.06861114502,28.3973712921143,9.80260181427002,58.7767066955566,19.9470691680908,25.5183792114258,27.5889739990234,15.3554449081421,16.3547058105469,21.0442314147949,33.9380912780762,19.1640663146973,18.9109783172607,19.9245300292969,7.43975210189819,27.6397590637207,15.6036510467529,11.7150144577026,20.2745361328125,,-0.018,0.006,0.019,-0.006,-0.011,-0.026,0.002,-0.012,-0.010,0.034,-0.006,-0.013,0.018,-0.027,-0.012,-0.001,0.025,-0.002,0.010,0.006,0.018,0.019,0.008,-0.002,0.033,0.010,-0.017,0.022
2001-02-06 00:00:00,66.1253051757813,29.6774063110352,37.0645980834961,14.2314491271973,12.0143299102783,24.2438373565674,17.9046363830566,22.3345642089844,24.5462017059326,108.498779296875,27.8124923706055,10.2191381454468,59.8085289001465,20.3783664703369,25.3798294067383,26.416690826416,15.4125108718872,16.7279262542725,21.4065589904785,33.8898887634277,19.3574485778809,18.9523162841797,19.8628902435303,7.4472336769104,26.9872360229492,16.1683464050293,11.5757551193237,20.1645545959473,,0.010,-0.029,-0.021,-0.043,-0.006,0.034,0.026,-0.024,0.039,-0.005,-0.021,0.042,0.018,0.022,-0.005,-0.042,0.004,0.023,0.017,-0.001,0.010,0.002,-0.003,0.001,-0.024,0.036,-0.012,-0.005
2001-02-07 00:00:00,65.3440170288086,29.2858409881592,37.6478309631348,13.8237199783325,12.0391712188721,21.0650177001953,17.6213455200195,23.1398277282715,24.0725135803223,107.017143249512,27.8916835784912,9.99698925018311,61.3029327392578,20.0908374786377,25.7819061279297,26.4419612884522,15.5629510879517,16.3045692443848,21.44873046875,32.8815422058106,20.0149364471436,18.3942813873291,20.1496276855469,7.28257274627686,26.7920341491699,15.737398147583,11.8934354782105,20.2751026153565,,-0.012,-0.013,0.016,-0.029,0.002,-0.131,-0.016,0.036,-0.019,-0.014,0.003,-0.022,0.025,-0.014,0.016,0.001,0.010,-0.025,0.002,-0.030,0.034,-0.029,0.014,-0.022,-0.007,-0.027,0.027,0.005
2001-02-08 00:00:00,65.6991806030273,29.7468872070313,37.6871719360352,13.6142683029175,11.9204664230347,20.3444805145264,17.8137340545654,22.0808334350586,24.9499988555908,107.450241088867,26.8011207580566,9.67486095428467,59.8294715881348,19.9111328125,25.7085552215576,26.1135158538818,15.7211751937866,16.3435688018799,21.4813251495361,33.3314590454102,19.2607517242432,18.4976215362549,20.071907043457,7.21820306777954,27.0207023620606,15.7968368530273,11.3799295425415,20.3087520599365,,0.005,0.016,0.001,-0.015,-0.010,-0.034,0.011,-0.046,0.036,0.004,-0.039,-0.032,-0.024,-0.009,-0.003,-0.012,0.010,0.002,0.002,0.014,-0.038,0.006,-0.004,-0.009,0.009,0.004,-0.043,0.002
2001-02-09 00:00:00,65.8767318725586,29.7026596069336,37.5757598876953,13.8237199783325,11.870774269104,19.1153373718262,18.1583404541016,22.1495971679688,24.8102207183838,104.076766967773,27.069185256958,9.30275058746338,58.728328704834,19.2641983032227,25.8036422729492,26.2499504089356,15.5992641448975,16.5775279998779,21.21484375,33.2310218811035,18.2938461303711,18.6174926757813,20.0960330963135,6.97121047973633,26.8366622924805,15.6006755828857,10.9665098190308,20.635627746582,,0.003,-0.001,-0.003,0.015,-0.004,-0.060,0.019,0.003,-0.006,-0.031,0.010,-0.038,-0.018,-0.032,0.004,0.005,-0.008,0.014,-0.012,-0.003,-0.050,0.006,0.001,-0.034,-0.007,-0.012,-0.036,0.016
2001-02-12 00:00:00,64.7935791015625,30.3847560882568,38.7094497680664,13.9801092147827,11.9066677093506,20.0477828979492,18.293643951416,21.6613502502441,25.2450828552246,108.293594360352,27.8612308502197,9.05282783508301,60.2489814758301,19.8752002716065,26.6512603759766,26.5531215667725,15.7756414413452,16.6165142059326,21.5637531280518,33.3354835510254,18.1778221130371,19.0639190673828,20.1255149841309,7.15084218978882,27.3832111358643,15.8859996795654,11.6301536560059,20.6115894317627,,-0.016,0.023,0.030,0.011,0.003,0.049,0.007,-0.022,0.018,0.041,0.029,-0.027,0.026,0.032,0.033,0.012,0.011,0.002,0.016,0.003,-0.006,0.024,0.001,0.026,0.020,0.018,0.061,-0.001
2001-02-13 00:00:00,63.3908309936523,29.544771194458,39.7907218933106,14.0303812026978,11.9425497055054,19.3272533416748,18.1815910339356,21.6200885772705,24.4607810974121,107.495849609375,28.2146034240723,9.21944808959961,59.6459503173828,18.6532135009766,26.3252677917481,25.840654373169,15.5525798797607,16.7112216949463,21.8819923400879,32.4396362304688,18.0037727355957,18.6133537292481,19.978120803833,7.25413370132446,27.3385925292969,16.1089115142822,11.7715864181519,20.3784561157227,,-0.022,-0.028,0.028,0.004,0.003,-0.036,-0.006,-0.002,-0.031,-0.007,0.013,0.018,-0.010,-0.061,-0.012,-0.027,-0.014,0.006,0.015,-0.027,-0.010,-0.024,-0.007,0.014,-0.002,0.014,0.012,-0.011
2001-02-14 00:00:00,63.0179557800293,29.4563598632813,39.7055435180664,14.1867685317993,11.8486824035645,19.9206390380859,18.2880973815918,21.5925807952881,24.1889934539795,105.444396972656,27.8551292419434,9.54990005493164,60.3538780212402,19.6236057281494,25.9856472015381,25.8659248352051,15.4332551956177,16.2934341430664,21.2742652893066,31.9896869659424,18.06178855896,18.7293853759766,19.7476539611816,7.03557920455933,27.2716732025147,15.5144891738892,11.5322408676148,20.1717700958252,,-0.006,-0.003,-0.002,0.011,-0.008,0.031,0.006,-0.001,-0.011,-0.019,-0.013,0.036,0.012,0.052,-0.013,0.001,-0.008,-0.025,-0.028,-0.014,0.003,0.006,-0.012,-0.030,-0.002,-0.037,-0.020,-0.010
